publicationTitle,Authors,yearOfPublication,publicationVenue,publicationID
The next database revolution,['Jim Gray'],2004,SIGMOD,5390972920f70186a0dfac85
The role of cryptography in database security,['Ueli Maurer'],2004,SIGMOD,5390972920f70186a0dfac86
Tree logical classes for efficient evaluation of XQuery,"['Stelios Paparizos', 'Yuqing Wu', 'Laks V. S. Lakshmanan', 'H. V. Jagadish']",2004,SIGMOD,5390972920f70186a0dfac8d
Adaptive stream resource management using Kalman Filters,"['Ankur Jain', 'Edward Y. Chang', 'Yuan-Fang Wang']",2004,SIGMOD,5390972920f70186a0dfac88
Holistic UDAFs at streaming speeds,"['Graham Cormode', 'Theodore Johnson', 'Flip Korn', 'S. Muthukrishnan', 'Oliver Spatscheck', 'Divesh Srivastava']",2004,SIGMOD,5390972920f70186a0dfac8a
Online event-driven subsequence matching over financial data streams,"['Huanmei Wu', 'Betty Salzberg', 'Donghui Zhang']",2004,SIGMOD,5390972920f70186a0dfac89
Using the structure of Web sites for automatic segmentation of tables,"['Kristina Lerman', 'Lise Getoor', 'Steven Minton', 'Craig Knoblock']",2004,SIGMOD,5390972920f70186a0dfac91
FleXPath: flexible structure and full-text querying for XML,"['Sihem Amer-Yahia', 'Laks V. S. Lakshmanan', 'Shashank Pandit']",2004,SIGMOD,5390972920f70186a0dfac8e
An interactive clustering-based approach to integrating source query interfaces on the deep Web,"['Wensheng Wu', 'Clement Yu', 'AnHai Doan', 'Weiyi Meng']",2004,SIGMOD,5390972920f70186a0dfac8f
Lazy query evaluation for Active XML,"['Serge Abiteboul', 'Omar Benjelloun', 'Bogdan Cautis', 'Ioana Manolescu', 'Tova Milo', 'Nicoleta Preda']",2004,SIGMOD,5390972920f70186a0dfac9a
Colorful XML: one hierarchy isn't enough,"['H. V. Jagadish', 'Laks V. S. Lakshmanan', 'Monica Scannapieco', 'Divesh Srivastava', 'Nuwee Wiwatwattana']",2004,SIGMOD,5390972920f70186a0dfac9c
Effective use of block-level sampling in statistics estimation,"['Surajit Chaudhuri', 'Gautam Das', 'Utkarsh Srivastava']",2004,SIGMOD,5390972920f70186a0dfac9f
