publicationTitle,Authors,yearOfPublication,publicationVenue,publicationID
An interactive clustering-based approach to integrating source query interfaces on the deep Web,"['Wensheng Wu', 'Clement Yu', 'AnHai Doan', 'Weiyi Meng']",2004,SIGMOD,5390972920f70186a0dfac8f
Colorful XML: one hierarchy isn't enough,"['H. V. Jagadish', 'Laks V. S. Lakshmanan', 'Monica Scannapieco', 'Divesh Srivastava', 'Nuwee Wiwatwattana']",2004,SIGMOD,5390972920f70186a0dfac9c
The Priority R-tree: a practically efficient and worst-case optimal R-tree,"['Lars Arge', 'Mark de Berg', 'Herman J. Haverkort', 'Ke Yi']",2004,SIGMOD,5390972920f70186a0dfaca4
Conditional selectivity for statistics on query expressions,"['Nicolas Bruno', 'Surajit Chaudhuri']",2004,SIGMOD,5390972920f70186a0dfaca1
Computing Clusters of Correlation Connected objects,"['Christian Böhm', 'Karin Kailing', 'Peer Kröger', 'Arthur Zimek']",2004,SIGMOD,5390972920f70186a0dfacad
Transaction support for indexed summary views,"['Goetz Graefe', 'Michael Zwilling']",2004,SIGMOD,5390972920f70186a0dfaca2
Fast computation of database operations using graphics processors,"['Naga K. Govindaraju', 'Brandon Lloyd', 'Wei Wang', 'Ming Lin', 'Dinesh Manocha']",2004,SIGMOD,5390972920f70186a0dfac99
Approximate XML query answers,"['Neoklis Polyzotis', 'Minos Garofalakis', 'Yannis Ioannidis']",2004,SIGMOD,5390972920f70186a0dfac9d
A bi-level Bernoulli scheme for database sampling,"['Peter J. Haas', 'Christian König']",2004,SIGMOD,5390972920f70186a0dfac9e
"Identifying similarities, periodicities and bursts for online search queries","['Michail Vlachos', 'Christopher Meek', 'Zografoula Vagena', 'Dimitrios Gunopulos']",2004,SIGMOD,5390972920f70186a0dfac92
